customer_id,name,phone,email,grade,lead_source,interest_type,signup_date,region,budget_10k_krw,status
C00157,오유진,01023922791,오유진@example.com,vip,온라인전시관,59B,2026-10-02,전북,85000,휴면
C00098,정예준,,정예준@example.com,일반,블로그,114A,2024-01-11,제주,95000,이탈
C00426,전지우,010.7997.4436,user426@example.com, 일반,광고,102A,2025-09-26,충북,63000,휴면
C00580,김우진,01096016020,user580@example.com,일반,온라인전시관,84A,2025-01-17,경기도,85000,활성
C00023,강동현,,강동현@example.com,신규,방문,59B,2025-06-10,울산,63000,활성
C00237,박은서,010.9166.8324,user237@example.com,VIP,블로그 ,102A,2026-01-04,경기,35000,활성
C00334,최나윤,010-5146-1200,user334@example.com,신규,블로그 ,84B,10-16-2024,경남,120000,휴면
C00269,홍소율,010-1271-4315,user269@example.com,일반 ,지인소개,84B,2024-03-16,경기,-1,이탈
C00210,한승우,010.7510.6343,한승우@example.com,신규,블로그 ,114A,2024-12-20,전남,42000,휴면
C00026,박선우,010.3041.5920,박선우@example.com,vip,SNS,74A,2025-12-10,광주,95000,휴면
C00151,박민준 ,01043051530,박민준@example.com,VIP,SNS,84A,2026-09-17,서울,999999,이탈
C00028,강선우,01064912530,user28@example.com,vip,전화문의,59B,20240301,인천,120000,휴면
C00132,박승우,010.3218.7887,user132@example.com,VVIP,SNS,84A,2025-07-03,대구,85000,활성
C00434,서서준,01029999763,user434@example.com,일반 ,블로그 ,84A,2024-07-09,울산,71000,활성
C00173,임하윤,010-6905-5102,임하윤@example.com,일반,지인소개,59A,2025-11-10,울산,95000,활성
C00557,신시우,,user557@example.com,일반,SNS,84A,2025-12-20,전북,42000,휴면
C00190,권윤서,01059841660,권윤서@example.com,일반 ,온라인전시관,59B,2024-12-08,전북,-1,활성
C00037,전민준,01071497498,전민준@example.com,VIP,광고(네이버),102A,2026-04-04,강원,999999,활성
C00290,서태윤,010.6136.6191,서태윤@example.com,Vip,전화문의,84B,2026-07-09,충남,999999,이탈
C00170,윤하은,010-5402-7786,윤하은@example.com,신규,광고,102A,2024-07-17,충남,120000,휴면
C00045,전서준,010-1841-5136,user45@example.com,VIP,광고,84A,2025-02-19,Gyeonggi,71000,활성
C00174,최민준,010-9510-8291,user174@example.com,VIP,온라인전시관,114A,2024/07/23,울산,95000,활성
C00527,윤주원,,user527@example.com,vip,온라인전시관,59A,04-15-2025,세종,999999,활성
C00050,윤선우,01054151659,윤선우@example.com,신규,Blog,102A,2025-05-06,전남,120000,활성
C00568,정윤서,010-3070-3337,user568@example.com,관심고객,전화문의,59A,2026-11-12,울산,999999,휴면
C00097,김수아,01026986447,김수아@example.com,VIP,온라인전시관,84B,2025-11-06,경북,120000,활성
C00377,이나윤,010-3796-2047,user377@example.com,VIP,블로그 ,84B,2026-04-03,전남,85000,휴면
C00278,윤우진,01010765277,윤우진@example.com,일반,Blog,59A,2026-02-17,부산,71000,이탈
C00199,오예준,010.2655.6514,user199@example.com,일반,지인소개,59B,2026-07-26,경남,85000,활성
C00535,장현우,010.8878.2178,user535@example.com,VIP,블로그 ,59B,04-01-2024,충남,120000,휴면
C00370,장하윤,010-7432-3923,user370@example.com,VIP,지인소개,84B,2025-04-20,경북,71000,활성
C00384,윤예준,010-3374-4541,user384@example.com,VIP,SNS,74A,20240824,세종,63000,활성
C00514,오지우,010-2531-6716,user514@example.com,관심고객,블로그,84B,2024-03-05,충북,999999,이탈
C00198,홍지호,010.4300.3137,user198@example.com,Vip,지인소개,114A,01-01-2025,대구,42000,이탈
C00054,최은서,010.5781.9337,최은서@example.com,일반,블로그 ,84A,2024/08/18,제주,58000,활성
C00079,신도윤,010-6830-3122,user79@example.com,일반,광고(네이버),59A,2024-04-10,대구,71000,활성
C00295,임준서,010-8816-5908,user295@example.com, 일반,SNS,114A,2025-10-08,충남,63000,휴면
C00253,김은서,010-3916-5127,,관심고객,방문,74A,2025-07-15,전남,85000,활성
C00185,이하윤,010-7568-2129,user185@example.com,일반 ,전화문의,114A,2025-06-03,서울,71000,이탈
C00142,윤준서,010-9005-9037,user142@example.com,VIP,온라인전시관,59B,2024-12-18,경기,42000,활성
C00496,박서연,010-2065-3089,박서연@example.com,VVIP,블로그 ,59A,2025-10-21,부산,-1,활성
C00264,권나윤,010.9542.5480,user264@example.com,관심고객,Blog,84B,2024-07-21,인천,-1,활성
C00122,장시윤,010-5450-3249,user122@example.com,관심고객,광고(네이버),59B,2024-01-22,울산,63000,활성
C00482,임시우,010-7672-3772,user482@example.com,관심고객,온라인전시관,59B,2024-12-02,부산시,85000,활성
C00143,김지민,01034741149,user143@example.com,신규,블로그 ,74A,2024-10-21,경남,120000,활성
C00257,홍가은,010-1891-9992,user257@example.com,vip,Blog,59A,2025-11-03,광주,999999,휴면
C00070,장동현,,user70@example.com,VIP,온라인전시관,114A,20241011,경기도,-1,활성
C00600,오수아,01058288543,오수아@example.com,일반 ,Blog,84A,04-27-2024,대구,42000,활성
C00359,신건우,010-7959-1121,신건우@example.com,일반 ,방문,102A,2026-05-14,충남,35000,활성
C00094,황유진,010-1086-2298,황유진@example.com,일반,방문,114A,2024-09-24,전남,42000,활성
C00479,서지우,01055442450,user479@example.com,Vip,블로그,84B,2026-12-10,부산,42000,활성
C00333,서건우,01034593656,user333@example.com,VIP,블로그,84A,2025-05-24,경북,71000,활성
C00130,송시우,010-4365-9008,user130@example.com,VVIP,Blog,84A,2024-08-05,경북,999999,활성
C00165,정주원,010-6138-7122,정주원@example.com,일반,블로그 ,84A,2024/02/19,강원,35000,활성
C00378,한도윤,01044931746,한도윤@example.com,일반,광고,59A,2025-03-25,충남,-1,활성
C00492,전하윤,010.5253.4734,user492@example.com,일반,블로그,102A,2026-09-20,경북,35000,휴면
C00209,홍시우,01037384471,user209@example.com,VIP,블로그,84A,11-14-2024,대구,999999,활성
C00375,황건우,010.1268.1606,황건우@example.com,VIP,온라인전시관,114A,01-13-2026,제주,120000,이탈
C00125,임소율,010-8444-9901,user125@example.com,VVIP,지인소개,114A,2026/08/09,충북,58000,휴면
C00389,서하윤,010-1022-2158,서하윤@example.com,VVIP,온라인전시관,84B,2024-05-14,광주,42000,이탈
C00483,서가은,010-4874-9076,,VIP,전화문의,59A,2025-08-18,경남,35000,휴면
C00432,윤승우,010-5498-8200,user432@example.com,일반,광고(네이버),59A,2025-09-12,부산시,120000,활성
C00455,장지우,010-6071-9964,장지우@example.com,일반 ,광고,84A,2026-01-01,seoul,120000,휴면
C00469,안우진,010-4360-9919,안우진@example.com,Vip,온라인전시관,114A,20260725,인천,35000,이탈
C00133,강건우,010.1056.1372,user133@example.com,신규,Blog,84A,20260727,충남,58000,활성
C00274,최시윤,010-2642-4513,user274@example.com, 일반,온라인전시관,114A,2026-10-23,Gyeonggi,35000,활성
C00046,윤도윤,010-4697-9561,user46@example.com,신규,블로그 ,74A,2026-07-10,경기,42000,활성
C00211,정시우,010-2641-2730,user211@example.com, 일반,전화문의,114A,2026-06-14,경남,999999,이탈
C00282,홍수아,010-9071-1108,user282@example.com,일반 ,블로그 ,74A,2026-06-16,세종,120000,활성
C00510,신수아,01039428236,신수아@example.com,일반,광고,74A,2024-05-27,인천,71000,활성
C00162,박소율,010-6340-4228,user162@example.com,VIP,전화문의,102A,2025-09-21,전북,999999,휴면
C00249,송수아,010-4012-9529,user249@example.com, 일반,Blog,59B,2025-09-18,충남,63000,활성
C00525,최현우,01017977183,user525@example.com,VVIP,방문,74A,2024/04/03,서울시,42000,활성
C00429,윤현우,,user429@example.com, 일반,전화문의,84A,2025-09-14,경기도,58000,활성
C00529,한태윤,,user529@example.com,VVIP,광고(네이버),84A,2025-09-21,제주,999999,활성
C00230,조수아,,조수아@example.com,신규,방문,102A,06-08-2025,인천,42000,이탈
C00062,임민준,010.1803.9138,임민준@example.com, 일반,방문,84B,20250421,대구,42000,활성
C00365,임준서,010-7222-7390,임준서@example.com,일반,지인소개,84B,2025-01-10,경북,95000,활성
C00319,임민준,010.8719.1372,user319@example.com,일반,Blog,59B,2024-09-17,경남,999999,활성
C00068,윤태윤,010-6876-1992,user68@example.com,일반,방문,59A,02-22-2025,Seoul,63000,활성
C00385,정서연,010-8627-8513,,VIP,온라인전시관,59B,2025-10-06,대전,999999,이탈
C00598,오지우,01064633264,user598@example.com,일반,SNS,84B,2025-09-18,울산,95000,활성
C00251,서승우,010.5633.1404,서승우@example.com,신규,Blog,84A,2025-01-10,광주,85000,이탈
C00245,정가은,010.9866.1529,user245@example.com,일반 ,블로그 ,59A,2026-11-24,울산,-1,휴면
C00273,신소율,010-4337-7770,user273@example.com,VIP,온라인전시관,84B,2026-08-09,충남,95000,활성
C00256,최서연,01023945992,user256@example.com,Vip,온라인전시관,59B,2025-11-28,대전,58000,활성
C00267,이시우,010-1642-3406,user267@example.com,VIP,전화문의,59B,2026-07-20,서울,71000,활성
C00454,박하은,010-3941-3985,user454@example.com,VIP,광고,84A,2026-05-11,경북,120000,이탈
C00427,서윤서,01039581304,user427@example.com,관심고객,블로그 ,59B,2026-12-15,전남,999999,활성
C00298,정유진,01012419086,,일반,SNS,74A,2025-06-15,경기,35000,활성
C00300,안선우,01061136293,안선우@example.com,vip,블로그,102A,2026-09-04,강원,63000,활성
C00075,오태윤,010.1842.5712,user75@example.com,일반,광고,84B,2026-04-05,울산,42000,활성
C00195,김현우,010.8940.6636,김현우@example.com,일반,전화문의,59B,20240620,경기,120000,이탈
C00565,오소율,010.7876.3514,user565@example.com, 일반,SNS,84A,2024/10/08,부산,95000,활성
C00521,박유진,010.7738.2986,박유진@example.com,VIP,광고,84B,2025/07/15,제주,35000,휴면
C00035,한지우,010-7906-5133,한지우@example.com,신규,블로그,102A,2026/01/12,경기,63000,활성
C00049,전승우,010-7594-5460,user49@example.com,신규,광고,84B,2024-07-24,세종,35000,활성
C00303,권시윤,010-3207-5107,user303@example.com,신규,블로그 ,84B,2025-09-23,대전,-1,활성
C00234,강우진,,user234@example.com,vip,지인소개,84A,2025-02-14,인천,71000,활성
C00255,서가은,010.3234.7406,user255@example.com,vip,지인소개,74A,2026-12-21,서울,-1,활성
C00287,장건우,01036761983,,일반 ,전화문의,84A,2026-02-15,세종,85000,활성
C00472,임소율,010.9737.4831,임소율@example.com,일반,전화문의,102A,20261022,제주,63000,활성
C00039,강시윤,010-9817-8921,user39@example.com,일반,광고(네이버),74A,2025-04-27,세종,120000,활성
C00507,황주원,010-2062-3743,황주원@example.com, 일반,Blog,74A,09-15-2025,충남,-1,휴면
C00505,오동현,010-8106-2071,user505@example.com,VIP,지인소개,114A,2024-04-18,충남,85000,이탈
C00497,임태윤,010-4819-1173,user497@example.com,일반,블로그 ,114A,10-20-2025,서울,85000,이탈
C00139,조준서,01012514470,user139@example.com,Vip,광고,102A,2025-04-23,광주,95000,활성
C00272,김유진,010-9515-1117,,vip,방문,102A,20250712,세종,71000,이탈
C00007,이태윤,010-7916-2040,user7@example.com,일반,광고(네이버),84A,2026-05-18,서울,42000,이탈
C00444,장도윤,010-5603-6907,user444@example.com,일반,전화문의,84B,2025-09-11,대전,85000,휴면
C00001,최민준,010-2679-9935,최민준@example.com,관심고객,SNS,59A,02-07-2024,서울,-1,휴면
C00069,전주원,010.4538.4817,user69@example.com, 일반,지인소개,114A,2026-01-09,대구,58000,이탈
C00318,홍가은,01017354825,홍가은@example.com,vip,온라인전시관,59B,2026-02-04,울산,999999,활성
C00232,신시윤,01011583267,user232@example.com,일반,온라인전시관,84A,20260524,대전,42000,휴면
C00159,최서준,010.3321.6707,user159@example.com,일반,블로그 ,114A,2024-09-16,부산,120000,활성
C00320,김현우,010.3790.1984,user320@example.com,일반,광고(네이버),74A,2024-08-21,인천,95000,활성
C00379,권지호,010-7162-3584,,VVIP,블로그 ,59A,2024-01-06,강원,95000,휴면
C00294,안채원,010-9841-4721,user294@example.com,신규,전화문의,74A,2025-05-05,서울,58000,활성
C00569,권하윤,010-5699-5519,user569@example.com,신규,방문,74A,2026-02-10,충북,42000,활성
C00022,최수아,01035324878,최수아@example.com, 일반,지인소개,84A,2024-03-24,전남,63000,활성
